action,blood glucose,reward,mean_reward,TIR (%),meal,risk,time
[0.],143.23209,15.0,15.0,0.0,0.0,1.129268009580663,2025-01-01 00:03:00
[0.],142.12518,15.0,15.0,0.0,0.0,1.1351773602943718,2025-01-01 00:06:00
[0.],141.80408,15.0,15.0,0.0,0.0,1.1627815454330495,2025-01-01 00:09:00
[0.],141.92317,15.0,15.0,0.0,0.0,1.1971702077606714,2025-01-01 00:12:00
[0.],142.24144,15.0,15.0,0.0,0.0,1.2309842534578168,2025-01-01 00:15:00
[0.],142.57512,15.0,15.0,0.0,0.0,1.260965433737894,2025-01-01 00:18:00
[0.],142.77074,15.0,15.0,0.0,0.0,1.286068631837676,2025-01-01 00:21:00
[0.],142.6901,15.0,15.0,0.0,0.0,1.3063863726721292,2025-01-01 00:24:00
[0.],142.21097,15.0,15.0,0.0,0.0,1.3225376982302697,2025-01-01 00:27:00
[0.],141.26773,15.0,15.0,0.0,0.0,1.3353318049474745,2025-01-01 00:30:00
[0.],139.87624,15.0,15.0,0.0,0.0,1.3455935034511564,2025-01-01 00:33:00
[0.],138.06964,15.0,15.0,0.0,0.0,1.354081525965454,2025-01-01 00:36:00
[0.],135.88014,15.0,15.0,0.0,0.0,1.3614579381188023,2025-01-01 00:39:00
[0.],133.35881,15.0,15.0,0.0,0.0,1.3682840082953724,2025-01-01 00:42:00
[0.],130.67558,15.0,15.0,0.0,0.0,1.3750284637239418,2025-01-01 00:45:00
[0.],128.17929,15.0,15.0,6.25,0.0,1.382080441864295,2025-01-01 00:48:00
[0.18420105],126.25803,15.0,15.0,11.76470588235294,0.0,1.3897631233333165,2025-01-01 00:51:00
[0.18366706],125.29925,15.0,15.0,16.666666666666664,0.0,1.3983427403018343,2025-01-01 00:54:00
[0.183395],125.63827,15.0,15.0,21.052631578947366,0.0,1.4080147423182505,2025-01-01 00:57:00
[0.18349162],127.300674,15.0,15.0,25.0,0.0,1.4188652996429199,2025-01-01 01:00:00
[0.18395868],129.84756,15.0,15.0,28.57142857142857,0.0,1.430836265291572,2025-01-01 01:03:00
