action,blood glucose,reward,meal,risk,info
[0.07013023],162.2965,-21.211244038388255,0.0,1.6582173733567327,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.59188472e+02,
       3.80188549e+02, 4.04403728e+00, 2.56737801e-01, 1.04360759e+02,
       1.04335287e+02, 2.76129269e+00, 1.07795914e+02, 9.74253143e+01,
       2.58051848e+02]), 'time': datetime.datetime(2025, 1, 1, 6, 3), 'bg': 139.9378618510157, 'lbgi': 0.0, 'hbgi': 1.6582173733567327, 'risk': 1.6582173733567327}"
[0.],161.46912,-20.60420058693996,0.0,1.6714252900597284,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 259.93210759,
       379.50886796,   4.18796341,   1.31171375, 104.47386036,
       104.33674487,   2.86280334, 101.48791741,  99.15802845,
       258.31419675]), 'time': datetime.datetime(2025, 1, 1, 6, 6), 'bg': 140.05898882253854, 'lbgi': 0.0, 'hbgi': 1.6714252900597284, 'risk': 1.6714252900597284}"
[0.],159.78497,-19.630850213916077,0.0,1.6893453365481603,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 260.35917441,
       378.9915439 ,   4.24342438,   2.61564276, 104.6315152 ,
       104.3408324 ,   2.92937072,  95.54905217, 100.52648915,
       258.6283176 ]), 'time': datetime.datetime(2025, 1, 1, 6, 9), 'bg': 140.22273072613893, 'lbgi': 0.0, 'hbgi': 1.6893453365481603, 'risk': 1.6893453365481603}"
0.1,157.38689,-18.329782708113207,0.0,1.7082338124971432,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 260.57801995,
       378.51380906,   4.47965527,   4.25276342, 104.84425616,
       104.34822738,   3.01899468, 151.17913411, 103.10096551,
       258.94226823]), 'time': datetime.datetime(2025, 1, 1, 6, 12), 'bg': 140.3945861560746, 'lbgi': 0.0, 'hbgi': 1.7082338124971432, 'risk': 1.7082338124971432}"
[0.],154.43622,-16.78573290213108,0.0,1.725937760066861,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 260.6435742 ,
       377.92863306,   4.72625259,   6.99521165, 105.19922663,
       104.36090959,   3.19413027, 142.33244068, 106.71676963,
       259.22636862]), 'time': datetime.datetime(2025, 1, 1, 6, 15), 'bg': 140.55499016104298, 'lbgi': 0.0, 'hbgi': 1.725937760066861, 'risk': 1.725937760066861}"
[0.],151.10425,-15.085191063548919,0.0,1.7411188331070853,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 260.57127476,
       377.13590852,   4.84577273,  10.06617993, 105.6349208 ,
       104.3810032 ,   3.31795185, 134.00343761, 109.7797963 ,
       259.46146185]), 'time': datetime.datetime(2025, 1, 1, 6, 18), 'bg': 140.6920245086991, 'lbgi': 0.0, 'hbgi': 1.7411188331070853, 'risk': 1.7411188331070853}"
[0.],147.56691,-13.314337236803453,0.0,1.7527868728956646,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 260.36445258,
       376.13030617,   4.91141607,  13.0089994 , 106.1080059 ,
       104.40943419,   3.3903507 , 126.16183075, 112.33445725,
       259.63285251]), 'time': datetime.datetime(2025, 1, 1, 6, 21), 'bg': 140.79703110239873, 'lbgi': 0.0, 'hbgi': 1.7527868728956646, 'risk': 1.7527868728956646}"
[0.],144.0023,-11.558356033982415,0.0,1.7601516242976594,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 260.0279889 ,
       374.93902456,   4.94595816,  15.64899511, 106.59697145,
       104.4465323 ,   3.43074755, 118.77909868, 114.4221387 ,
       259.72894452]), 'time': datetime.datetime(2025, 1, 1, 6, 24), 'bg': 140.86316988727592, 'lbgi': 0.0, 'hbgi': 1.7601516242976594, 'risk': 1.7601516242976594}"
[0.],140.58737,-9.899984746810372,0.0,1.7626163024809829,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 259.57093256,
       373.59812061,   4.9598375 ,  17.91860339, 107.08862192,
       104.49229998,   3.45105533, 111.82838906, 116.08139356,
       259.74128494]), 'time': datetime.datetime(2025, 1, 1, 6, 27), 'bg': 140.8852797034737, 'lbgi': 0.0, 'hbgi': 1.7626163024809829, 'risk': 1.7626163024809829}"
[0.],137.48395,5.329846124625438,0.0,1.759794132887504,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 259.00593076,
       372.14410966,   4.95859429,  19.79985981, 107.57392258,
       104.5465317 ,   3.45773646, 105.28442054, 117.34812173,
       259.664708  ]), 'time': datetime.datetime(2025, 1, 1, 6, 30), 'bg': 140.85996194781467, 'lbgi': 0.0, 'hbgi': 1.759794132887504, 'risk': 1.759794132887504}"
0.1,134.83026,7.259405592729075,0.0,1.751513716679339,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 258.34746537,
       370.59890342,   5.16313172,  21.70266021, 108.08645546,
       104.60908111,   3.51280391, 160.34480864, 119.79539853,
       259.49726309]), 'time': datetime.datetime(2025, 1, 1, 6, 33), 'bg': 140.78558660890127, 'lbgi': 0.0, 'hbgi': 1.751513716679339, 'risk': 1.751513716679339}"
[0.],132.76051,7.186931520896744,0.0,1.7377888598465472,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 257.60181848,
       368.89135433,   5.38909992,  24.53816083, 108.72251807,
       104.68139968,   3.66724346, 150.96175846, 123.26113733,
       259.23930231]), 'time': datetime.datetime(2025, 1, 1, 6, 36), 'bg': 140.66200606446148, 'lbgi': 0.0, 'hbgi': 1.7377888598465472, 'risk': 1.7377888598465472}"
[0.],131.40962,7.1143771407886325,0.0,1.7186846119134809,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 256.75954664,
       366.96268152,   5.49316221,  27.59869144, 109.42490554,
       104.76521509,   3.77722769, 142.12778545, 126.15364272,
       258.89068741]), 'time': datetime.datetime(2025, 1, 1, 6, 39), 'bg': 140.48935226666916, 'lbgi': 0.0, 'hbgi': 1.7186846119134809, 'risk': 1.7186846119134809}"
[0.],130.88573,7.042684119798538,0.0,1.6941916941036546,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 255.81158298,
       364.83011852,   5.54572266,  30.46401048, 110.15239627,
       104.86112299,   3.83906759, 133.81075839, 128.51955728,
       258.4495239 ]), 'time': datetime.datetime(2025, 1, 1, 6, 42), 'bg': 140.2668964443097, 'lbgi': 0.0, 'hbgi': 1.6941916941036546, 'risk': 1.6941916941036546}"
[0.],131.13835,6.9795359354939706,0.0,1.6642631633411336,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 254.7569043 ,
       362.53336031,   5.56820794,  32.97957159, 110.884539  ,
       104.96915809,   3.87041473, 125.98042671, 130.40233102,
       257.91338376]), 'time': datetime.datetime(2025, 1, 1, 6, 45), 'bg': 139.99335334858787, 'lbgi': 0.0, 'hbgi': 1.6642631633411336, 'risk': 1.6642631633411336}"
[0.],131.88014,6.938642155707801,0.0,1.6289058615665162,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 253.60198557,
       360.11545806,   5.57041382,  35.08962702, 111.60869101,
       105.08904826,   3.88232219, 118.60830998, 131.84242458,
       257.2807568 ]), 'time': datetime.datetime(2025, 1, 1, 6, 48), 'bg': 139.66768887795183, 'lbgi': 0.0, 'hbgi': 1.6289058615665162, 'risk': 1.6289058615665162}"
0.1,132.77177,6.923780610106556,0.0,1.5882460367052613,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 252.35808012,
       357.60493286,   5.7752888 ,  37.18769141, 112.35641777,
       105.22053008,   3.93929103, 172.88901134, 134.41715907,
       256.55195796]), 'time': datetime.datetime(2025, 1, 1, 6, 51), 'bg': 139.28972101128153, 'lbgi': 0.0, 'hbgi': 1.5882460367052613, 'risk': 1.5882460367052613}"
[0.],133.47491,6.938030866030754,0.0,1.542539708095049,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 251.03035132,
       354.93773969,   5.99953961,  40.17877272, 113.22279845,
       105.36491011,   4.09359834, 162.77190031, 137.96839885,
       255.72886889]), 'time': datetime.datetime(2025, 1, 1, 6, 54), 'bg': 138.860243751005, 'lbgi': 0.0, 'hbgi': 1.542539708095049, 'risk': 1.542539708095049}"
0.1,133.67708,6.981882334496563,0.0,1.4920695368152748,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 249.6092815 ,
       352.04966142,   6.31810781,  43.75799964, 114.19012057,
       105.52395863,   4.260543  , 214.46823875, 142.4477827 ,
       254.8125603 ]), 'time': datetime.datetime(2025, 1, 1, 6, 57), 'bg': 138.38009158876537, 'lbgi': 0.0, 'hbgi': 1.4920695368152748, 'risk': 1.4920695368152748}"
0.1,133.21803,7.0409456651504705,0.0,1.4370259238639878,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 248.0769438 ,
       348.85128198,   6.83306426,  48.80426127, 115.35847201,
       105.70021225,   4.54415617, 263.13941326, 149.25185123,
       253.80162011]), 'time': datetime.datetime(2025, 1, 1, 7, 0), 'bg': 137.8489873758044, 'lbgi': 0.0, 'hbgi': 1.4370259238639878, 'risk': 1.4370259238639878}"
[0.],132.16528,7.091275537013774,0.0,1.3774378190858314,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 246.39919164,
       345.20365637,   7.23493872,  55.32933656, 116.75568867,
       105.8977039 ,   4.86604803, 247.74103339, 156.61344068,
       252.69050185]), 'time': datetime.datetime(2025, 1, 1, 7, 3), 'bg': 137.26476358752845, 'lbgi': 0.0, 'hbgi': 1.3774378190858314, 'risk': 1.3774378190858314}"
0.1,130.63481,7.126013929668938,0.0,1.31309135571016,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 244.53454886,
       341.05344416,   7.67597504,  62.50995395, 118.31861907,
       106.11965155,   5.14607844, 294.46515205, 164.51477188,
       251.46789153]), 'time': datetime.datetime(2025, 1, 1, 7, 6), 'bg': 136.62233877538426, 'lbgi': 0.0, 'hbgi': 1.31309135571016, 'risk': 1.31309135571016}"
[0.],128.73965,7.144670146546995,0.0,1.2435794717774717,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 242.44764261,
       336.36080781,   8.06504934,  70.60917915, 120.08488589,
       106.36920527,   5.45161331, 277.23365412, 172.84130431,
       250.11791687]), 'time': datetime.datetime(2025, 1, 1, 7, 9), 'bg': 135.91384456188482, 'lbgi': 0.0, 'hbgi': 1.2435794717774717, 'risk': 1.2435794717774717}"
0,126.59084,7.148121047034728,0.0,1.168436611062644,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 240.10826031,
       331.12887057,   8.29018713,  78.65244483, 121.96747907,
       106.64896426,   5.66834588, 261.01050807, 180.04575106,
       248.62175517]), 'time': datetime.datetime(2025, 1, 1, 7, 12), 'bg': 135.12954843731183, 'lbgi': 0.0, 'hbgi': 1.168436611062644, 'risk': 1.168436611062644}"
0,124.29908,7.138361454899124,0.0,1.0872848256813845,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 237.50349859,
       325.4388033 ,   8.43639909,  86.10610553, 123.9069447 ,
       106.95993458,   5.80973402, 245.73670732, 186.21622184,
       246.96002719]), 'time': datetime.datetime(2025, 1, 1, 7, 15), 'bg': 134.25890410334776, 'lbgi': 0.0, 'hbgi': 1.0872848256813845, 'risk': 1.0872848256813845}"
